songs,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Two Hearts,Phil Collins,0.582,0.908,7,-2.48,1,0.039,0.311,0.0323,0.0625,0.711,155.561
I Want You To Be My Boy,The Exciters,0.608,0.664,1,-5.78,1,0.21,0.312,0,0.0436,0.704,152.016
A Cottage For Sale,Little Willie John,0.299,0.0101,5,-25.571,1,0.0397,0.983,0,0.103,0.161,172.065
Happy People/U Saved Me,R Kelly,0.828,0.586,8,-6.274,1,0.205,0.0811,0,0.101,0.802,97.01
A Little Bit Of Ecstasy,Jocelyn Enriquez,0.495,0.764,6,-7.64,0,0.0618,0.0363,0.00208,0.315,0.691,130.012
Wonderland By Night,Louis Prima & Keely Smith,0.368,0.27,4,-8.344,1,0.0272,0.905,0.863,0.234,0.232,70.391
Time Will Reveal,DeBarge,0.711,0.259,0,-13.796,1,0.0359,0.528,0,0.0582,0.433,129.75
Ten Rounds With Jose Cuervo,Tracy Byrd,0.681,0.864,2,-7.839,1,0.0347,0.00504,0,0.212,0.931,127.079
Who's Making Love,Johnnie Taylor,0.79,0.349,10,-13.265,1,0.065,0.206,0,0.168,0.696,115.365
Little Green Apples,Roger Miller,0.519,0.131,0,-21.288,1,0.0501,0.848,0.0591,0.139,0.496,103.183
Pretty Ballerina,The Left Banke,0.427,0.6,8,-10.389,1,0.0438,0.912,0.0102,0.154,0.679,115.2
Keep On Running,The Spencer Davis Group,0.66,0.768,9,-5.731,1,0.127,0.189,0,0.225,0.737,138.3
Money In The Ghetto,Too Short,0.951,0.51,1,-9.75,1,0.178,0.0468,3.04e-06,0.211,0.386,103.065
I Wonder,Brenda Lee,0.542,0.466,0,-8.665,1,0.0831,0.141,0.000445,0.125,0.124,191.385
I.G.Y. (What A Beautiful World),Donald Fagen,0.721,0.558,7,-13.052,0,0.0353,0.292,0.000235,0.139,0.77,119.754
Don't Cry Out Loud,Melissa Manchester,0.409,0.521,10,-9.953,1,0.0335,0.226,0,0.132,0.278,76.82
I Want To Be Wanted,Brenda Lee,0.515,0.412,8,-6.322,1,0.0277,0.593,0,0.218,0.392,107.61
Imagine,Tracie Spencer,0.729,0.475,8,-4.985,1,0.0364,0.378,0,0.12,0.371,62.52
No Matter What Shape (Your Stomach's In),The T-Bones,0.786,0.803,0,-12.7,1,0.0313,0.257,0.793,0.044,0.964,125.841
Power Of Love,Martha & The Vandellas,0.768,0.829,5,-5.109,1,0.0313,0.0964,2.92e-05,0.097,0.962,118.773
This Is It,Kenny Loggins,0.579,0.511,8,-6.788,1,0.0293,0.254,0,0.099,0.594,78.003
Prayer For The Dying,Seal,0.306,0.763,5,-7.518,1,0.051,0.335,0.00593,0.0835,0.147,99.904
Keep Searchin' (We'll Follow The Sun),Del Shannon,0.407,0.679,4,-9.465,0,0.0359,0.238,0.929,0.814,0.855,149.195
Fancy,Bobbie Gentry,0.649,0.76,1,-6.487,1,0.0574,0.114,0,0.317,0.843,80.018
I Can't Let Go,Linda Ronstadt,0.491,0.479,5,-8.124,1,0.0249,0.322,9.68e-06,0.107,0.244,98.303
Glide,Pleasure,0.759,0.976,0,-1.876,1,0.0616,0.0834,0.000239,0.279,0.635,134.017
Pineapple Princess,Annette & the Afterbeats,0.632,0.7,8,-8.753,1,0.0381,0.414,0,0.0519,0.804,107.627
Lonely Again,Eddy Arnold,0.515,0.195,9,-13.635,0,0.112,0.49,0,0.0818,0.0638,169.544
Don't Say You Love Me,M2M,0.585,0.633,9,-4.944,1,0.1,0.497,0,0.145,0.378,101.707
Let's Be Us Again,Lonestar,0.49,0.522,6,-4.647,1,0.0272,0.0348,0,0.161,0.343,137.939
Sledgehammer,Peter Gabriel,0.671,0.777,2,-4.322,1,0.046,0.0057,0.0011,0.0783,0.289,99.98
Take Good Care Of Her,Mel Carter,0.378,0.253,8,-12.243,1,0.036,0.912,0,0.109,0.423,100.053
When A Man Loves A Woman,Bette Midler,0.516,0.15,1,-20.41,1,0.0272,0.13,0.0755,0.122,0.205,97.398
Push It,Salt-N-Pepa,0.913,0.596,11,-12.477,0,0.0707,0.00658,0.00349,0.078,0.973,127.215
She's No You,Jesse McCartney,0.554,0.88,4,-4.25,0,0.0428,0.0805,0.0313,0.295,0.313,89.868
Moonlighting (Theme),Al Jarreau,0.666,0.828,1,-5.276,1,0.0303,0.223,1.86e-05,0.316,0.613,101.408
Rebels,Tom Petty And The Heartbreakers,0.927,0.454,10,-11.767,0,0.191,0.539,0.182,0.115,0.32,114.016
Amor,Ben E. King,0.587,0.411,8,-8.758,1,0.0475,0.185,0,0.273,0.53,140.277
Try Sleeping With A Broken Heart,Alicia Keys,0.496,0.821,5,-5.155,1,0.112,0.158,0.246,0.13,0.549,110.977
I m Not In Love,Will To Power,0.404,0.523,4,-15.7,1,0.0575,0.685,0.000498,0.282,0.164,133.738
Rice Is Nice,Lemon Pipers,0.512,0.545,4,-6.881,0,0.0326,0.409,7.24e-06,0.0536,0.862,127.512
Hot Rod Lincoln,Johnny Bond,0.696,0.791,4,-13.056,1,0.22,0.296,0,0.318,0.965,130.246
Sweet Little Sixteen,Jerry Lee Lewis,0.507,0.627,1,-7.838,1,0.0354,0.575,0,0.198,0.962,175.309
Wedding Bell Blues,The 5th Dimension,0.482,0.674,9,-5.41,0,0.0321,0.548,0,0.135,0.617,118.048
Walk On By,Leroy Van Dyke,0.825,0.302,8,-11.651,1,0.282,0.204,0,0.0762,0.747,94.956
N Dey Say,Nelly,0.866,0.771,0,-4.032,1,0.0385,0.232,0,0.182,0.719,97.656
I Engineer,Animotion,0.614,0.786,9,-14.181,0,0.0472,0.000624,0.00465,0.062,0.805,115.224
Stereotomy,The Alan Parsons Project,0.706,0.585,5,-11.77,0,0.0306,0.161,0.00818,0.494,0.35,136.046
Just A Girl,No Doubt,0.638,0.906,2,-4.824,1,0.0504,0.0662,6.88e-05,0.142,0.767,107.991
You Better You Bet,The Who,0.577,0.762,0,-8.552,1,0.0441,0.5,4.13e-05,0.0753,0.554,161.965
Shilo,Neil Diamond,0.753,0.355,8,-13.295,0,0.0898,0.48,0.87,0.122,0.506,111.863
Shoot Your Shot,Jr. Walker & The All Stars,0.724,0.585,2,-10.068,1,0.316,0.12,0.000417,0.0935,0.555,79.973
Ooh!,Mary J. Blige,0.601,0.574,2,-8.166,1,0.03,0.579,1.14e-05,0.216,0.8,147.964
Future Shock,Curtis Mayfield,0.652,0.815,1,-5.822,0,0.054,0.0122,0,0.537,0.508,122.004
Don't Take Your Love Away,Avant,0.451,0.523,7,-5.53,1,0.0905,0.382,0,0.0752,0.393,186.056
Free Ride,Edgar Winter,0.674,0.686,2,-11.927,1,0.0597,0.29,0.00322,0.189,0.814,124.204
Better Be Home Soon,Crowded House,0.437,0.373,0,-14.846,1,0.028,0.261,1.2e-06,0.0984,0.355,93.519
What's Your Name,Lynyrd Skynyrd,0.646,0.574,7,-9.352,1,0.0285,0.602,4.19e-05,0.135,0.933,135.175
Bye Bye,Mariah Carey,0.61,0.926,8,-4.843,0,0.0479,0.031,0.0012,0.0821,0.861,172.638
The Last Time I Made Love,Joyce Kennedy ,0.436,0.33,10,-10.288,1,0.031,0.198,1.07e-05,0.217,0.107,117.651
We Live For Love,Pat Benatar,0.565,0.672,6,-12.446,1,0.0325,0.0474,0.00248,0.125,0.743,134.932
Upside Down,Jack Johnson,0.787,0.655,6,-8.339,0,0.0431,0.238,0.000171,0.138,0.65,102.485
Rules Of Love,The Orlons,0.496,0.249,0,-12.17,1,0.0609,0.931,0,0.107,0.267,127.595
Dreams,Buddy Miles,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151
Say A Prayer,Breathe,0.821,0.675,7,-6.661,0,0.0709,0.228,0.019,0.0765,0.554,116.013
The Way It Is,Bruce Hornsby ,0.582,0.689,7,-12.203,1,0.0277,0.607,0.0571,0.145,0.531,111.166
You're Beautiful,James Blunt,0.675,0.479,0,-9.87,0,0.0278,0.633,1.76e-05,0.088,0.454,81.998
S.E.X.,Lyfe Jennings,0.55,0.914,8,-2.831,1,0.0425,3.53e-05,0.322,0.0894,0.825,134.958
It's The Same Old Song,KC & The Sunshine Band,0.704,0.678,2,-9.121,0,0.0295,0.143,0,0.119,0.977,125.185
Need A Boss,Shareefa Featuring Ludacris,0.684,0.797,0,-5.406,0,0.361,0.0457,3.72e-06,0.275,0.565,84.012
If I Only Knew,Ozark Mountain Daredevils,0.569,0.491,2,-8.816,0,0.0375,0.357,0.000172,0.0744,0.0843,139.898
Dancin',Guy,0.75,0.797,0,-4.826,1,0.118,0.293,0,0.392,0.523,105.949
Ben Crazy,Dickie Goodman,0.626,0.644,0,-6.413,1,0.0481,0.175,0,0.1,0.468,106.687
Party,Van McCoy,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021
Damaged,Danity Kane,0.774,0.653,8,-5.158,0,0.05,0.0912,0,0.151,0.818,120.01
Lonely Street,Clarence Henry,0.354,0.0895,3,-18.445,1,0.0331,0.939,5.38e-05,0.163,0.419,80.468
Wives And Lovers,Jack Jones,0.354,0.472,5,-13.215,0,0.0464,0.449,0,0.28,0.541,96.026
(Believed You Were) Lucky, Til Tuesday,0.612,0.523,5,-11.425,1,0.0321,0.448,1.59e-06,0.0727,0.495,124.315
Strawberry Fields Forever,The Beatles,0.39,0.502,10,-12.277,1,0.178,0.336,0.000138,0.0713,0.289,97.871
Stay With Me (Brass Bed),Josh Gracin,0.434,0.567,1,-7.278,1,0.0309,0.396,0,0.132,0.271,175.845
I Wish You Love,Gloria Lynne,0.659,0.248,10,-11.169,0,0.0573,0.861,0,0.19,0.647,115.118
Glory Of Love,The Roommates,0.52,0.61,5,-7.935,1,0.0282,0.0805,2.95e-06,0.276,0.329,144.983
Together Forever,Rick Astley,0.702,0.933,2,-11.876,1,0.0492,0.0519,0.000128,0.155,0.896,115.114
Rico Suave,Gerardo,0.798,0.817,11,-11.337,0,0.121,0.00596,6.29e-05,0.0548,0.446,105.931
A Little Bit Now (A Little Bit Later),The Majors,0.496,0.458,10,-11.595,1,0.0483,0.77,2.37e-05,0.128,0.926,183.883
Let Me Return The Favor,Andrea Martin,0.619,0.552,4,-8.927,0,0.167,0.0175,0,0.0465,0.63,174.603
Gotta Getcha,Jermaine Dupri,0.762,0.324,4,-7.447,0,0.329,0.0663,2.33e-06,0.095,0.482,209.819
The Cheater,Bob Kuban & The In-Men,0.61,0.586,3,-10.602,0,0.0556,0.709,1.13e-05,0.105,0.83,136.77
Animals,Nickelback,0.279,0.742,4,-6.46,0,0.0898,0.000185,0,0.593,0.328,189.868
"1, 2 Step",Ciara Featuring Missy Elliott,0.805,0.896,7,-2.53,0,0.0414,0.0176,0.00293,0.336,0.776,98.738
That Ain t Love,REO Speedwagon,0.625,0.872,11,-6.843,0,0.0282,0.0184,2.55e-06,0.0733,0.669,131.959
Games That Lovers Play,Wayne Newton,0.532,0.373,9,-16.099,1,0.0282,0.0424,0.779,0.133,0.559,112.16
Freedom,The Pointer Sisters,0.563,0.847,1,-4.493,1,0.0468,0.0891,0,0.121,0.666,96.06
Tempted To Touch,Rupee,0.82,0.826,2,-7.012,0,0.0546,0.061,0,0.0904,0.939,105.988
I Run To You,Lady Antebellum,0.655,0.786,3,-4.451,1,0.034,0.163,5.99e-05,0.124,0.378,113.964
Keep The Faith,Bon Jovi,0.569,0.968,5,-3.72,0,0.0487,0.00108,0.00153,0.0814,0.568,117.783
I've Been Born Again,Johnnie Taylor,0.649,0.379,8,-7.947,1,0.0269,0.771,0,0.197,0.804,136.981
Boogie Woogie Bugle Boy,Bette Midler,0.64,0.479,7,-11.55,1,0.467,0.881,0.000171,0.0973,0.79,166.868
Give It Up To Me,Sean Paul,0.855,0.674,7,-4.328,1,0.314,0.165,0,0.0548,0.578,95.991
You Are Forever,Smokey Robinson,0.575,0.591,2,-5.916,0,0.028,0.0173,0,0.173,0.332,107.967
Victoria,The Kinks,0.536,0.674,3,-9.418,1,0.0648,0.395,1.71e-05,0.231,0.586,162.948
You Give Good Love,Whitney Houston,0.559,0.365,5,-13.654,1,0.0332,0.686,0,0.0771,0.534,74.802
It's Too Soon To Know,Etta James,0.35,0.0417,2,-17.114,1,0.0355,0.984,4.93e-05,0.0962,0.221,143.997
Steppin' Out,Joe Jackson,0.579,0.223,11,-20.208,1,0.0364,0.0439,0.00232,0.0613,0.532,159.696
Send Me An Angel,Scorpions,0.153,0.417,1,-11.587,1,0.0318,0.434,0.000622,0.211,0.166,80.87
When Joanna Loved Me,Tony Bennett,0.531,0.0933,3,-22.251,1,0.0309,0.942,0.0014,0.0945,0.214,99.382
Fly At Night,Chilliwack,0.34,0.566,7,-15.999,1,0.0405,0.306,0.277,0.12,0.501,139.381
Bigger,Justin Bieber,0.776,0.752,8,-4.711,0,0.193,0.325,0,0.33,0.716,140.013
Reason To Live,Kiss,0.637,0.718,6,-6.171,0,0.075,0.00832,0.000219,0.227,0.0801,120.029
Never Again,Kelly Clarkson,0.493,0.936,1,-4.525,1,0.0331,8.53e-06,9.73e-05,0.358,0.683,93.501
In My House,Mary Jane Girls,0.793,0.637,10,-11.037,0,0.0309,0.0155,0.219,0.0765,0.943,116.832
I'm Still A Struggling Man,Edwin Starr,0.617,0.668,11,-9.821,1,0.0409,0.122,0,0.279,0.901,95.083
Candy,Cameo,0.664,0.667,4,-5.941,1,0.154,0.64,1.22e-06,0.0753,0.381,180.064
Rain,Jose Feliciano,0.231,0.976,10,-27.426,0,0.0487,0.152,0.987,0.48,0.00672,96.552
Try Again,Aaliyah,0.435,0.352,2,-7.815,0,0.0371,0.814,0,0.247,0.345,85.82
Amen,Otis Redding,0.807,0.898,6,-5.837,0,0.0393,0.188,0.000395,0.0824,0.743,112.998
Black Night,Bobby Bland,0.497,0.787,9,-11.039,1,0.0734,0.165,0.522,0.17,0.812,134.598
It's My Thing (You Can't Tell Me Who To Sock It To),Marva Whitney,0.725,0.845,9,-5.871,0,0.0787,0.124,0.00404,0.243,0.869,110.728
You Should'a Treated Me Right,Ike & Tina Turner,0.669,0.552,0,-7.98,1,0.0587,0.807,0.000874,0.321,0.488,100.102
"Sally, Go 'Round The Roses",The Jaynetts,0.694,0.453,2,-12.583,1,0.0327,0.234,0.546,0.0703,0.457,146.6
Nothing From Nothing,Billy Preston,0.808,0.83,9,-3.995,0,0.0283,0.613,0.0112,0.198,0.909,102.8
Let Yourself Go,The Friends Of Distinction,0.627,0.971,2,-3.017,1,0.0376,0.00376,4.11e-05,0.246,0.605,101.0
When We Get Married,The Intruders,0.445,0.209,9,-11.616,1,0.0532,0.843,0,0.107,0.383,179.42
The End Of The World,Skeeter Davis,0.232,0.216,10,-10.674,1,0.0314,0.936,4.93e-06,0.246,0.432,94.268
Jimmy Olsen's Blues,The Spin Doctors,0.46,0.914,7,-9.349,1,0.0576,0.00629,7.4e-05,0.209,0.536,111.681
Skin Deep,Cher,0.625,0.785,9,-8.951,1,0.0301,0.179,0.684,0.116,0.793,128.189
Undone - The Sweater Song,Weezer,0.457,0.618,6,-6.682,1,0.0296,0.00114,0.00257,0.0679,0.579,80.184
Emotional Rollercoaster,Vivian Green,0.692,0.565,6,-6.033,0,0.0957,0.0948,0,0.304,0.511,122.934
Don't Stop Me Now,Queen,0.563,0.865,5,-5.277,1,0.16,0.0472,0.000191,0.77,0.601,156.271
Too Many Rules,Connie Francis,0.3,0.867,4,-8.198,1,0.0377,0.334,0.0342,0.16,0.934,176.992
I Don t Want To Lose Your Love,B Angie B,0.683,0.452,7,-8.389,0,0.122,0.431,2.35e-06,0.39,0.815,170.568
Dear God,Midge Ure,0.673,0.748,7,-6.1,1,0.365,0.255,0,0.236,0.716,139.667
Given Up,Linkin Park,0.655,0.885,7,-4.116,1,0.0438,0.00117,0.000473,0.0448,0.938,100.088
Winchester Cathedral,Dana Rollin,0.847,0.371,7,-13.909,1,0.0659,0.614,3.55e-06,0.0502,0.914,122.638
Everybody Loves A Love Song,Mac Davis,0.603,0.316,3,-14.013,1,0.123,0.598,1.08e-06,0.0733,0.735,183.416
Relax & Party,Ivory,0.611,0.856,0,-5.063,1,0.0529,0.219,0,0.0837,0.697,158.914
Smile,Uncle Kracker,0.694,0.685,6,-6.535,0,0.133,0.224,0,0.124,0.306,158.831
I Just Can t Walk Away,Four Tops,0.513,0.453,11,-7.362,1,0.0256,0.237,0,0.14,0.166,92.952
All I Ever Wanted,Chuck Wicks,0.645,0.984,4,-7.051,1,0.0508,0.164,0.00701,0.164,0.553,144.954
To Each His Own,The Tymes,0.298,0.423,2,-8.256,1,0.0452,0.858,4.67e-06,0.108,0.118,79.882
No Ordinary Love,Sade,0.629,0.364,11,-12.259,0,0.038,0.467,0.0204,0.0941,0.701,166.266
18 And Life,Skid Row,0.466,0.648,1,-11.101,0,0.028,0.0023,1.49e-05,0.112,0.305,90.435
The Good Lord Loves You,Neil Diamond,0.323,0.326,4,-14.609,1,0.0312,0.207,0,0.0788,0.175,176.378
Need A Little Taste Of Love,The Doobie Brothers,0.605,0.919,9,-8.372,1,0.0503,0.000382,0.00139,0.057,0.84,115.006
"I Don't Want Nobody To Give Me Nothing (Open Up The Door, I'll Get It Myself)",James Brown,0.768,0.652,7,-6.078,1,0.0421,0.42,0,0.0822,0.748,110.65
No Letting Go,Wayne Wonder,0.496,0.819,5,-5.656,0,0.0444,0.0479,0.000215,0.177,0.317,100.215
Theme From Mission - Impossible,Adam Clayton And Larry Mullen,0.586,0.314,0,-12.724,1,0.0312,0.178,0.00858,0.108,0.726,171.332
What's Your Fantasy,Ludacris Featuring Shawna,0.915,0.79,6,-3.186,0,0.207,0.16,0,0.112,0.967,140.095
"Green, Green Grass Of Home",Tom Jones,0.543,0.41,8,-13.253,1,0.0268,0.157,0,0.0996,0.817,95.363
Step Daddy,Hitman Sammy Sam,0.644,0.783,10,-5.206,0,0.267,0.00158,0.000223,0.323,0.472,139.876
Close To Cathy,Mike Clifford,0.453,0.206,4,-10.18,1,0.0277,0.784,0,0.069,0.283,81.715
99 Miles From L.A.,Albert Hammond,0.433,0.261,2,-16.047,1,0.028,0.309,0.000122,0.114,0.112,100.66
Eleanor Rigby,Ray Charles,0.316,0.229,4,-10.821,0,0.0311,0.697,0.00211,0.128,0.209,130.447
Another Side Of You,Joe Nichols,0.564,0.657,10,-8.341,1,0.0296,0.442,0.0722,0.366,0.695,95.043
Give Me The Light,Sean Paul,0.819,0.756,2,-4.365,1,0.0494,0.0912,8.81e-06,0.124,0.918,107.294
Long Trip Alone,Dierks Bentley,0.324,0.514,7,-6.228,1,0.0338,0.239,4.97e-06,0.107,0.216,184.975
Somebody's Gettin' It,Johnnie Taylor,0.639,0.696,8,-10.707,0,0.0569,0.103,0,0.33,0.744,87.912
Love Is A Rock,REO Speedwagon,0.562,0.832,0,-9.279,1,0.0368,0.217,1.32e-06,0.0505,0.443,106.033
Some Enchanted Evening,Jane Olivor,0.217,0.131,0,-18.144,1,0.0425,0.982,0.502,0.0773,0.223,81.537
Angel Of The Morning,Merrilee Rush & The Turnabouts,0.452,0.313,8,-9.309,1,0.026,0.433,2.6e-05,0.0772,0.344,75.806
Soul Meets Body,Death Cab For Cutie,0.621,0.853,2,-5.735,0,0.0253,0.0767,3.26e-06,0.0893,0.714,128.142
Always On My Mind,Willie Nelson,0.524,0.261,2,-13.868,1,0.0272,0.755,0.00105,0.144,0.201,73.36
If Anybody Had A Heart,John Waite,0.537,0.301,7,-12.508,1,0.0294,0.631,6.29e-06,0.112,0.25,153.78
Wrap Her Up,Elton John,0.67,0.89,2,-8.017,1,0.0307,0.012,0.0276,0.124,0.895,138.854
Who Is He And What Is He To You,Creative Source,0.921,0.313,1,-12.543,0,0.0368,0.104,0.00118,0.0821,0.957,99.3
Will You Marry Me?,Paula Abdul,0.532,0.728,1,-2.306,0,0.0584,0.432,1.28e-06,0.552,0.792,66.793
How Do I Say I m Sorry,Tami Davis,0.225,0.0195,0,-30.587,1,0.0525,0.937,0.871,0.0889,0.178,126.582
Orange Blossom Special,Johnny Cash,0.676,0.634,0,-8.91,1,0.0301,0.0543,0.00239,0.297,0.8,110.617
Baroque-A-Nova,Mason Williams,0.563,0.623,9,-10.382,0,0.0278,0.329,0.261,0.236,0.641,155.742
Pony,Ginuwine,0.749,0.605,8,-9.359,0,0.086,0.00186,0.0381,0.115,0.966,142.024
Black Horse & The Cherry Tree,KT Tunstall,0.748,0.786,4,-7.788,0,0.0641,0.328,0,0.34,0.917,104.833
Don't Take It Personal,Jermaine Jackson,0.731,0.355,8,-12.741,1,0.0603,0.00864,5.14e-05,0.0579,0.529,175.72
Supernature,Cerrone,0.619,0.948,5,-6.641,0,0.0432,0.00219,0.22,0.199,0.82,123.016
Barbara,The Temptations,0.581,0.669,6,-3.659,1,0.0385,0.19,0,0.243,0.926,78.073
Trickle Trickle,The Manhattan Transfer,0.583,0.804,0,-8.539,1,0.23,0.147,0,0.0876,0.788,182.554
Something's Missing,The Five Stairsteps,0.545,0.899,1,-3.41,0,0.0301,0.0989,0.000635,0.131,0.531,152.029
Water Runs Dry,Boyz II Men,0.589,0.368,0,-12.979,1,0.0264,0.475,0,0.108,0.523,89.626
Shawty Get Loose,Lil Mama,0.885,0.724,1,-4.229,1,0.246,0.165,0,0.095,0.619,115.069
Love Is Free,Sheryl Crow,0.712,0.747,11,-6.503,0,0.0482,0.284,8.26e-05,0.111,0.837,115.992
Last Dayz,Onyx,0.625,0.621,10,-9.595,0,0.439,0.0193,3.04e-05,0.124,0.771,88.216
Fantasy,Aldo Nova,0.669,0.727,7,-7.588,1,0.0353,0.139,0,0.123,0.807,102.322
Basketball,Kurtis Blow,0.587,0.282,6,-11.902,0,0.308,0.947,0,0.11,0.53,188.37
Soulville,Dinah Washington,0.621,0.101,3,-19.696,1,0.052,0.906,0.0369,0.112,0.35,120.509
Ice In The Sun,The Status Quo,0.524,0.672,4,-8.023,1,0.0371,0.0444,0.0189,0.124,0.127,123.878
Crazy Feelin',Jefferson Starship,0.785,0.299,7,-7.022,0,0.0506,0.246,2.93e-05,0.0462,0.222,125.205
Your Woman,White Town,0.815,0.605,5,-9.118,0,0.0368,0.033,0.684,0.114,0.795,102.642
Attitude Dancing,Carly Simon,0.687,0.587,0,-14.726,1,0.0337,0.14,0,0.228,0.826,130.36
Hot Love,T.Rex,0.788,0.764,7,-4.054,1,0.254,0.00918,0,0.224,0.841,100.095
A Song For You,Andy Williams,0.332,0.22,5,-13.157,1,0.036,0.821,0.000205,0.245,0.0719,100.196
Last Christmas,Glee Cast,0.735,0.478,2,-12.472,1,0.0293,0.189,2.48e-06,0.355,0.947,107.682
Downfall,TRUSTcompany,0.31,0.94,6,-3.395,1,0.106,0.000106,2.21e-06,0.205,0.454,128.682
Nine In The Afternoon,Panic At The Disco,0.405,0.689,10,-5.75,1,0.0365,0.0843,0,0.207,0.397,155.189
"Another Day, Another Heartache",The 5th Dimension,0.599,0.62,4,-11.834,1,0.0269,0.023,0.000117,0.113,0.82,108.332
Funky Street,Arthur Conley,0.7,0.903,7,-11.68,1,0.12,0.71,2.61e-06,0.23,0.853,150.224
No One Like You,Scorpions,0.505,0.631,9,-10.433,0,0.038,0.0203,2.21e-05,0.141,0.835,118.178
How High The Moon,Gloria Gaynor,0.695,0.582,11,-9.567,0,0.0381,0.687,0.00914,0.178,0.817,118.88
Mind Blowin',Smooth,0.705,0.448,0,-11.375,1,0.0502,0.473,0,0.126,0.703,92.417
All That Glitters Isn t Gold,The Cover Girls,0.545,0.258,9,-18.598,0,0.0394,0.629,0.595,0.0753,0.135,115.792
Let The Song Last Forever,Dan Hill,0.522,0.331,10,-8.656,1,0.0445,0.863,0,0.303,0.282,73.178
Giving It All Away,Roger Daltrey,0.317,0.563,5,-6.209,1,0.0376,0.454,0.000284,0.202,0.225,83.561
Ring The Living Bell,Melanie,0.491,0.443,10,-11.847,1,0.0528,0.543,0,0.152,0.63,134.145
In The Mood,Robert Plant,0.624,0.304,8,-14.496,1,0.0822,0.929,0.173,0.0693,0.874,80.582
Do You Really Want To Hurt Me,Culture Club,0.744,0.376,4,-14.996,0,0.0366,0.0815,0,0.108,0.42,100.78
Yesterday And You (Armen's Theme),Bobby Vee,0.479,0.388,7,-12.132,1,0.0346,0.597,0,0.385,0.566,126.776
I m From The Country,Tracy Byrd,0.687,0.898,2,-3.93,1,0.042,0.206,0,0.284,0.952,129.542
Since You're Gone,The Cars,0.618,0.607,0,-8.625,1,0.0299,0.042,0.0277,0.0464,0.545,95.715
Anymore,Teresa Brewer,0.731,0.549,6,-6.749,0,0.0329,0.0154,9.12e-06,0.0825,0.449,137.915
Mighty Good Lovin',The Miracles,0.63,0.717,10,-8.01,0,0.0382,0.728,0,0.113,0.919,127.673
Come September,Billy Vaughn,0.502,0.587,2,-9.478,1,0.0369,0.339,2.49e-06,0.097,0.512,76.081
SOS,Abba,0.677,0.671,7,-4.905,1,0.0361,0.004,5.07e-05,0.413,0.527,137.046
Fire,Pointer Sisters,0.512,0.662,3,-6.797,1,0.0439,0.0275,0,0.118,0.472,180.114
Wishing You Were Here,Chicago,0.436,0.354,2,-16.176,0,0.0374,0.712,0.0165,0.211,0.397,136.625
Pretty Girl,Jon B,0.93,0.611,0,-4.406,1,0.0415,0.593,0.00124,0.0592,0.695,112.127
Where Are All My Friends,Harold Melvin & The Blue Notes,0.526,0.561,0,-7.372,1,0.0397,0.651,0.000316,0.113,0.356,173.975
Turn! Turn! Turn!/To Everything There Is A Season,Judy Collins,0.451,0.818,2,-8.124,1,0.0439,0.135,2.92e-05,0.052,0.755,124.532
Funny Girl,Barbra Streisand,0.237,0.352,10,-8.864,1,0.0359,0.963,0.229,0.156,0.254,180.402
Caribbean Blue,Enya,0.386,0.319,4,-16.512,1,0.0332,0.776,0.965,0.106,0.661,157.614
"Louie, Louie",The Sandpipers,0.623,0.709,1,-9.818,0,0.0636,0.102,0,0.0967,0.948,122.394
Mio Amore,The Flamingos,0.325,0.193,3,-14.803,1,0.0309,0.713,2.55e-06,0.108,0.342,169.36
Sunshine,Coko,0.697,0.875,5,-4.621,1,0.034,0.137,0,0.28,0.774,140.069
Think,Jimmy McCracklin,0.77,0.699,0,-6.59,1,0.199,0.0596,1.65e-05,0.17,0.696,81.003
I Should Have Cheated,Keyshia Cole,0.436,0.533,2,-4.266,0,0.0472,0.265,0,0.332,0.366,130.768
You Better Go,Derek Martin,0.185,0.124,8,-15.582,1,0.0359,0.844,0.000321,0.358,0.0843,71.887
Heaven Must Have Sent You,Elgins,0.656,0.523,2,-9.341,0,0.0287,0.305,1.42e-06,0.102,0.681,139.0
American Ride,Toby Keith,0.519,0.907,9,-2.681,1,0.0665,0.0829,1.57e-06,0.325,0.794,174.085
Little Lies,Fleetwood Mac,0.342,0.294,2,-15.989,1,0.0426,0.592,0.674,0.0944,0.132,84.014
Brooklyn Zoo,Ol' Dirty Bastard,0.704,0.701,2,-8.031,1,0.46,0.549,0,0.664,0.618,92.032
My Fallen Angel,Coro,0.76,0.733,10,-9.312,0,0.0675,0.00621,0.0105,0.0401,0.797,124.058
One Of The Lucky Ones,Anita Bryant,0.632,0.566,5,-8.043,1,0.0744,0.0563,0.0107,0.58,0.747,79.553
If I Can't Have You,Etta James,0.692,0.809,2,-4.198,1,0.0602,0.524,0,0.147,0.864,123.911
It's Over,Electric Light Orchestra,0.643,0.199,0,-12.19,1,0.0581,0.869,0,0.106,0.386,46.572
Shake Your Love,Debbie Gibson,0.784,0.746,11,-10.681,0,0.0477,0.405,0,0.0568,0.83,120.55
Before My Heart Finds Out,Gene Cotton,0.613,0.538,6,-6.333,1,0.0304,0.471,1.35e-06,0.138,0.484,122.652
